#,Choose a language!,Interlay 的使命是：,interBTC 是：,Kintsugi（kBTC）是：,INTR 和 KINT 是：,谁能在 Interlay 中运行金库？,interBTC 为用户提供哪些保证？,在哪里可以使用 interBTC？,Interlay's Mission is?,interBTC is?,Kintsugi is?,INTR and KINT are?,Who can run a Vault in Interlay?,What guarantees does interBTC offer to users?,Where will you be able to use interBTC?,You've finished the quiz and scored full marks!,完成测试，满分！,Start Date (UTC),Submit Date (UTC),Network ID,Tags
5qfespt96wyls4zhzm5qfesa556z7wjb,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13DYSaCRp5JgiCDYRR964G1xbsnHB4GDJL3npytCgkwRhJJE,,2022-07-09 16:54:49,2022-07-09 16:58:20,3b54b730c3,
yi7o3zrt3ouo6yi73cjtvly7j293cjtk,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12EkWG6he6FA7ZQmHUd1zyoAhRSGWf2ycNiuZtPpdq1Wveg7,,2022-07-02 12:11:09,2022-07-02 12:13:36,0459648263,
asxczxvd054lsf0ohkxv5n2easxczxvd,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-06-21 08:25:47,2022-06-21 08:28:35,5b3e7bdc3e,
ju32uqzfvvga1gamojlgeju32uqs0b1w,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",,,2022-06-06 20:30:04,2022-06-06 20:31:51,8cf5c54b05,
gsasytzzjkkn6pb8ngsasyprfur9zvkc,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",Ok,,2022-05-24 08:48:07,2022-05-24 08:52:51,384ff97b93,
38qbokux2ef38qb8kjcjfzomkoba8km1,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,162ARFhdDv65ZZbNC3KmvaPvLXFzFFaaspSpxxymzqxJQokK,2022-05-18 01:23:42,2022-05-18 01:28:25,6758adf23d,
bmh69pmnyej1y85pqp5t4bmh69pmnn9y,Chinese,以去信任化和彻底开放的方式将比特币带到任何区块链,一种与BTC 1:1锚定的无需信任的资产,Interlay 的金丝雀（先行）网络，为 Kusama 带来无需信任的跨链 BTC,Polkadot 上的 interBTC 和 Kusama 上的 kBTC 的治理代币,任何人,您可以随时使用 interBTC 1:1 赎回 BTC 或在抵押品中获得补偿,在任何区块链上，包括所有 Polkadot 平行链,,,,,,,,,14pEbfH6FLb1jRGkASwUibugRjxjQqR2dGUET4NcSmQ2bJs8,2022-05-16 09:12:44,2022-05-16 09:16:23,94f5785e90,
e10hv7gfwtekm35nde1shre4j1x0yh0w,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",15V2m4g6NyccS29173jLiAEmHBa5z5XU6SF4rug8X18boama,,2022-05-08 14:20:37,2022-05-08 14:25:48,777b38c034,
7dq03wklqd7kw36u7dq03wl36r7doql7,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",1NW6MJ4Go9scL3GFG257VHjgPyjX2U5srbKhZ1UsKjrQJsc,,2022-05-07 23:14:09,2022-05-07 23:16:45,85d1a2dbc5,
ohugjb17ah6vur27edc7eexohugjbs00,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",wd8HRuvG391HN8grDEgJZnPRFYeJfE5kvAttyr6Ze7p5iQCZK,,2022-05-07 18:53:32,2022-05-07 18:57:17,b168e4fe6b,
k74eb7a283lqyjxbnnspk74eb7dey4bv,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",12GuHLgprLirXATMJM6aX414G4k6m5vVuEFgC6wMtB1U9hM2,,2022-05-07 01:20:56,2022-05-07 01:23:06,3215f20743,
ib6ismrca8py9iqo0655lib6isma1v0w,English,,,,,,,,To bring Bitcoin to any blockchain in a trustless and radically open way,"A trustless, 1:1 Bitcoin-backed asset",Interlay’s canary network that brings trustless Bitcoin to Kusama,"Governance tokens for interBTC on Polkadot and kBTC on Kusama, respectively",Anyone,You can always redeem interBTC 1:1 for Bitcoin or be reimbursed in collateral,"On any blockchain, including all Polkadot parachains",13TkpRcBE4525ZDvGx2vdK39jwRARBZToTevdNvRvPhpb7wu,,2022-05-06 17:01:20,2022-05-06 17:03:32,84d97640ad,
